channel_id,channel_name,lang,notes
UC8yHePe_RgUBE-waRWy6olw,PIVOT 公式チャンネル,ja,
UCeCmAYh1ylwIsgGrmqaklzg,TBS CROSS DIG with Bloomberg,en,
UCPMJKbrxtpARoTd1b49iUvA,楽待 RAKUMACHI,ja,
UCfTnJmRQP79C4y_BMF_XrlA,NewsPicks /ニューズピックス,ja,
UC7sEB_ylMuHJD4TjF4Ag1nw,田端大学　投資学部,ja,
UCUMZ7gohGI9HcU9VNsr2FJQ,Bloomberg Originals,en,
UC-yRDvpR99LUc5l7i7jLzew,Bg2 Pod,en,
UCQUOscigSQWCVG8m-ZC8wiw,Broken Business Models,en,
UClWTCPVi-AU9TeCN6FkGARg,EO Global,en,
UC6t1O76G0jYXOAoYCm153dA,Lenny's Podcast,en,
UCLesNX-Yc1bb7mSMefESgSw,Nanalyze,en,
UC0p5jTq6Xx_DosDFxVXnWaQ,The Economist,en,
UC1E1SVcVyU3ntWMSQEp38Yw,The Prof G Pod – Scott Galloway,en,
UCTcJVDgfw411rqWCHb-16lg,文藝春秋PLUS,ja,
UChyLk7utaMRsA7qZ6zT8UUg,ダイヤモンド社 THE BOOKS,ja,
UCkKVQ_GNjd8FbAuT6xDcWgg,テレ東BIZ ダイジェスト,ja,
UCiMwbmcCSMORJ-85XWhStBw,安野貴博の自由研究,ja,
UC9V4eJBNx_hOieGG51NZ6nA,フェルミ漫画大学,ja,
UChqRyUd4wT9eQvbbbQbibOQ,AIでゆっくり本要約チャンネル,ja,
UCslnxln9FxCuTz3qLLTIm_A,flier 公式チャンネル,ja,
UCsy9I56PY3IngCf_VGjunMQ,Zeihan on Geopolitics,en,
UCjC_j2F4ftvkaN3oXGcXzTA,プレジデント 公式チャンネル,ja,
UCfJXvyyIS5E5u2PbRD0l8TA,探究!エミンチャンネル,ja,
UCC4NkFV-L-vVYD5z_Ei5dUA,学識サロン,ja,
UCduDJ6s3mMchYMy2HvqalxQ,アバタロー,ja,
UCQB7g265YCdQinDUrL3jPgw,ずんだMarket,ja,
UCXhiUvJK_0uyLY1YvaSa0AQ,馬渕磨理子の株式クラブ,ja,
UCQ-0MkpvJZ0co7WD79DBt9w,コアラ先生の時事ネタ祭り,ja,
UCN36kFB7Lh4tptI4rsy5vFw,東洋経済オンライン,ja,
UClVsQnfs-jKkjKmUKUHnT2g,日経CNBC,ja,
UCGXU4lVXc9msfUkjNykA7TA,BANK ACADEMY / バンクアカデミー,ja,
UCGIioIDJyQXfQVcrimZSmlw,三菱UFJ eスマート証券　投資情報専門チャンネル,ja,
UCax09PmcRoY1R8mfJFBfv0g,朝倉慶のASK1,ja,
UC5BiTvy2Ni2MyigJPspjhOA,トウシル [楽天証券],ja,
UCdFpTpMIGq2sX4u98e1UI0w,つばめ投資顧問の長期投資研究所,ja,
UC4cVwSx4jdZszAcvrgJ4H-g,ガーコちゃんねる,ja,
UCgY8pmJItX4O-ZkkOy9xoFA,松井証券マーケットナビ,ja,
UCOfzLmXpI3qmZfV7_Cs1sYA,投資の寺子屋、暁投資顧問の相場状況！,ja,
UC0gvn7xAe2wHtFZYPqsf6bA,上岡正明【MBA保有の脳科学者】,ja,
UC4A0ZOrruCUJ7Orhx8AeeQg,財産の雑学【ゆっくり解説 お金】,ja,





